,Date,BSE,NYSE,N225,DAX,SS.Shanghai
1,6/26/2009,2.879043171030027,-0.06887506671358068,0.8265957565738447,-0.5030765094698353,0.10814629862165859
2,6/29/2009,0.14281091256282963,0.9358546141552182,-0.955407224347482,2.248585216626786,1.5957932712150402
3,6/30/2009,-1.9939497798217687,-0.9665021281923813,1.7726277062903861,-1.5773348791679354,-0.5375842707227463
4,7/1/2009,1.040733365711155,0.8240067901558845,-0.18605290011102227,1.9930453004340265,1.63515141116104
5,7/2/2009,0.08886512863544027,-3.0485048330410436,-0.6437147708338031,-3.8855898598386673,1.7172649051591549
6,7/6/2009,-4.286714318619644,-0.0907773983675142,-1.9971013924649839,-1.4230379713646713,2.082982661119104
7,7/7/2009,0.9006262252194475,-2.0195609227902978,-0.34229077474599023,-1.1595768067754975,-1.1334649271182329
8,7/8/2009,-2.8728213781393563,-0.5332001859372326,-2.3814174367830176,-0.5569850845743574,-0.28122255823745945
9,7/9/2009,-0.08493912293747741,0.7580716544969945,-1.3862102033613155,1.2479064637551218,1.3624417136398392
10,7/10/2009,-1.8579010338699575,-0.7056334655294094,-0.040684981371619244,-1.1678939331314808,-0.29190578562019454
11,7/13/2009,-0.772359879382023,2.3506462634117042,-2.584452165210216,3.141139699447315,-1.0776129067227913
12,7/14/2009,3.327374900416835,0.7644223504977177,2.309821773915388,1.2489621738493994,2.0753733382493422
13,7/15/2009,2.8431906021424425,3.1799307501954033,0.08030226627600001,3.022846782481814,1.3702785775713267
14,7/16/2009,-0.020981500769501338,0.8289974149334967,0.8049095766041958,0.5816540048392937,-0.15093728229871317
15,7/17/2009,3.4124160838516104,-0.08177927303449906,0.5460160348544463,0.4269498551000339,0.18824952875267087
16,7/21/2009,2.1308951361024953,1.9074644185590017,2.695544500877567,2.2948994877349804,0.7329497797707418
17,7/22/2009,-1.4671096306445364,-0.04859883110928109,0.7343513283501579,0.540156219835275,2.562697168388617
18,7/23/2009,2.579898716545692,2.4269874335203667,0.7151077241106307,2.4250714470580803,0.9622563279503282
19,7/24/2009,0.9664885425131331,0.5528494514269511,1.5362881000879014,-0.34209326803544826,1.3166113087248021
20,7/27/2009,-0.025492098726864754,0.4282786861647736,1.4387393843723117,0.42343605389252303,1.839375856714831
21,7/28/2009,-0.280715574392687,-0.5670746797685311,-0.013881795795178675,-1.473409242963264,0.09192237058250896
22,7/29/2009,-1.0390415715056278,-0.7629378500830342,0.2572260520780745,1.830190681483046,-5.12996175669187
23,7/30/2009,1.4037536401259487,1.638271443766115,0.5125622845151057,1.6996082553671243,1.6736347363666582
24,7/31/2009,1.8182428897599578,0.6241101671033533,1.8675111120527887,-0.5334446702400797,2.688223429148806
25,8/3/2009,1.607406639895892,2.176696905018005,-0.0421100675005448,1.7606188948613877,1.4700085228051663
26,8/4/2009,-0.5873068720275043,0.05314489339802719,0.21748953011737626,-0.18130207362663242,0.25531499797324386
27,8/5/2009,0.4591156317122369,-0.1668305508383483,-1.1875477072724294,-1.1886876634386923,-1.2446906643155842
28,8/6/2009,-2.4815172544833786,-0.6197703115120134,1.3135411473271574,0.31652045875283363,-2.127499434925184
29,8/7/2009,-2.306856681293823,1.0537038517425046,0.23076733970501806,1.6434107884583327,-2.890932702731952
30,8/10/2009,-0.9974935297632825,-0.5581323221280243,1.0715430853135643,-0.7509374873146513,-0.3357660791751371
31,8/11/2009,0.43092431857960634,-1.3283102971684002,0.5798311133194289,-2.472303071104953,0.45947109676856
32,8/12/2009,-0.36172248879218216,1.1574835095446545,-1.431581705782925,1.2087471342908884,-4.767924267209089
33,8/13/2009,3.263892163333537,0.9926297561671404,0.7845561719383554,0.9491108599039677,0.8904527920488903
34,8/14/2009,-0.6909819605979806,-1.0086933472898352,0.7590987897286183,-1.718027552192325,-3.0252861102308515
35,8/17/2009,-4.15146744328716,-2.881673003997598,-3.151038694795183,-2.045602040201011,-5.96168085321942
36,8/18/2009,1.6790356987167243,1.3286420693152223,0.15909268513318864,0.9400896903732914,1.3925349337299053
37,8/19/2009,-1.5119797525693812,0.653591959631683,-0.7902829769648179,-0.3579275921801184,-4.399928601102321
38,8/20/2009,1.3592921524658408,1.1374624088002605,1.7429555295331411,1.5001662097839485,4.423904627606312
39,8/21/2009,1.510679799121739,1.8573931482924522,-1.4083513130186631,2.8159088426157552,1.6753119318638099
40,8/24/2009,2.513415086025539,-0.07671350657467713,3.293880496079993,1.038203118934078,1.0969831972530208
41,8/25/2009,0.3813863612601054,0.39017666190517275,-0.7940817085207996,0.6741992475166825,-2.6274291650202564
42,8/26/2009,0.5173834028164848,-0.13866513928650903,1.346939382315604,-0.633984226909412,1.760660433332717
43,8/27/2009,0.07112756459406455,0.5125958614867088,-1.5700118303705324,-0.9395761673843595,-0.7169454747320003
44,8/28/2009,0.8912004377080507,-0.19759777268699708,0.5728272205907103,0.8558732375163913,-2.952024480133897
45,8/31/2009,-1.6189555918483478,-0.9856045006861436,-0.3957776906414523,-0.9604959524583734,-6.982856101628787
46,9/2/2009,-1.2795128806349254,-2.5683650858988827,-2.0418598922510967,-2.684953240199839,1.7548831348978666
47,9/3/2009,-0.44793925897277376,1.1029665225985141,-0.6423051123467971,-0.3468503901153497,4.678905590432603
48,9/4/2009,1.8708418964923368,1.373377763016137,-0.26987211105140574,1.5536793622583644,0.5812537178345067
49,9/8/2009,2.732088755709583,1.331137096471302,2.0031447880400677,1.7909252810856202,2.3780544809118176
50,9/9/2009,0.37069088004937356,0.6864520329992629,-0.7832869843179324,1.6738790209968712,0.5371681822549768
