,BSE,NYSE,N225,DAX,SS.Shanghai
1,-0.01739991888517895,0.144069748451936,-0.10123270050700403,0.22339699311840816,0.02212739330045293
2,0.018384513793626295,0.15651542200837293,0.48059383565260855,0.01035915896847156,0.08672454622330351
3,-0.10326774551522261,-0.1259815516357301,-0.636631940755209,-0.228084357544296,-0.15528182441844054
4,0.21042222857281911,0.287995905782219,0.3180725210779344,0.16463180627474144,0.12961387054346582
5,-0.35082628173808844,0.02899640514919316,-0.5666642695602645,-0.34218731826439497,-0.30337296800942415
6,-0.08668903901870582,-0.5016327535574845,0.05178255641764988,-0.1008327611093859,-0.18402030614553838
7,0.04011983981572402,0.30256903040383176,-0.1255107764648159,-0.12738343060565557,-0.14429058824766838
8,-0.11139367246399214,-0.18406132975686734,0.2126677325467239,-0.326857220025185,-0.05395290458136483
9,0.2062899469884292,0.03333120467649381,0.5956491310637622,0.03384723216353666,0.079407600887404
10,-0.07673188394582564,-0.1701013496750923,-0.19013713551936104,-0.1968170788016863,-0.13211417697411254
11,0.28588902654265935,-0.15762350736008468,1.0215547407395575,0.06539659994488861,0.17145033881504335
12,0.16134710853698542,0.34919605034915824,0.0651385921821911,0.271238976274657,0.16875885947166924
13,0.1305122524250895,-0.039595208079661326,0.6357196792785709,0.45765215656958896,0.15033293606397222
14,-0.048521175039759674,-0.18844398644100732,0.0024322152608138798,0.0323380858254084,-0.0076090280468671875
15,0.015155956555716256,0.3096335340849513,0.032876897894195456,0.17655902899355364,0.05812658655486111
16,0.0677596031619985,0.19830895656998454,-0.04504750830925497,0.34705909214841774,0.16599788406695798
17,-0.04503690177794911,0.04452352555558325,-0.20334420762410535,-0.13690584964274566,-0.03340889402607369
18,0.2747847917469007,0.07710986129052166,0.44152835117468603,0.4032362775605709,0.10727151317737503
19,-0.07482396504005982,-0.12640494130600896,-0.23244460550440904,0.18946728262558593,-0.014227060112266304
20,0.015379751587533172,0.023634861904296686,-0.23671423939089448,0.16466353117806126,-0.016191583079117174
21,-0.09424728695508879,-0.16854666651699038,-0.27716080025602907,-0.026529498264660306,-0.14129473948246052
22,0.03833943418546588,0.35944112843591103,-0.04215359404983537,-0.3358688236238488,0.030202407712617504
23,0.20383832149720923,0.14341183317900452,0.32193256825377736,0.16013029811894947,0.31357566987668933
24,-0.021682624299658948,-0.044190635801930535,-0.2520187957114806,0.33446166220373397,-0.026146041373654505
25,0.09698563590359197,-0.136552966256975,0.4021555112076596,0.4090179402672709,0.04570601289161538
26,-0.06744810766977125,-0.15678970710428025,-0.058750358997504956,-0.042896598922905316,-0.06823236145879585
27,-0.05928204785781038,-0.2278811268085021,0.07583121325386773,0.02664169584440479,-0.059291689645936695
28,-0.023182871288443027,0.040795429390780326,-0.3583986027310683,-0.20082543125118335,0.017452021693535425
29,0.21282380850329097,-0.08719579411108383,0.08535336129330723,-0.13817612040111055,0.14931084249354817
30,0.053680539245061755,-0.013150286097042774,-0.34571973574910186,-0.09854663394692512,0.0622895810601679
